xintercept	clickSelects
1.14602865202296	1
1.51816361654725	5
1.89029858107154	9
2.26243354559583	13
2.63456851012012	17
3.00670347464441	21
3.3788384391687	25
3.75097340369299	29
4.21614210934835	34
4.58827707387264	38
4.96041203839693	42
5.33254700292122	46
5.70468196744551	50
6.0768169319698	54
6.44895189649409	58
6.82108686101838	62
7.28625556667375	67
7.65839053119804	71
8.03052549572233	75
8.40266046024662	79
8.77479542477091	83
9.1469303892952	87
9.51906535381949	91
9.89120031834378	95
10.3563690239991	100
