x	y	label	showSelected1	showSelected2	group
6	40	508600/508600=100.0% false positive bases	1	train	1
6	40	40292/508600=7.9% false positive bases	5	train	1
6	40	25412/508600=5.0% false positive bases	9	train	1
6	40	19598/508600=3.9% false positive bases	13	train	1
6	40	17864/508600=3.5% false positive bases	17	train	1
6	40	18236/508600=3.6% false positive bases	21	train	1
6	40	17477/508600=3.4% false positive bases	25	train	1
6	40	15850/508600=3.1% false positive bases	29	train	1
6	40	14130/508600=2.8% false positive bases	34	train	1
6	40	12874/508600=2.5% false positive bases	38	train	1
6	40	9228/508600=1.8% false positive bases	42	train	1
6	40	7015/508600=1.4% false positive bases	46	train	1
6	40	4964/508600=1.0% false positive bases	50	train	1
6	40	3839/508600=0.8% false positive bases	54	train	1
6	40	2719/508600=0.5% false positive bases	58	train	1
6	40	1883/508600=0.4% false positive bases	62	train	1
6	40	1180/508600=0.2% false positive bases	67	train	1
6	40	840/508600=0.2% false positive bases	71	train	1
6	40	554/508600=0.1% false positive bases	75	train	1
6	40	257/508600=0.1% false positive bases	79	train	1
6	40	78/508600=0.0% false positive bases	83	train	1
6	40	38/508600=0.0% false positive bases	87	train	1
6	40	21/508600=0.0% false positive bases	91	train	1
6	40	10/508600=0.0% false positive bases	95	train	1
6	40	4/508600=0.0% false positive bases	100	train	1
6	40	412820/412820=100.0% false positive bases	1	validation	2
6	40	145929/412820=35.3% false positive bases	5	validation	2
6	40	150127/412820=36.4% false positive bases	9	validation	2
6	40	149893/412820=36.3% false positive bases	13	validation	2
6	40	150723/412820=36.5% false positive bases	17	validation	2
6	40	150894/412820=36.6% false positive bases	21	validation	2
6	40	140044/412820=33.9% false positive bases	25	validation	2
6	40	129352/412820=31.3% false positive bases	29	validation	2
6	40	120519/412820=29.2% false positive bases	34	validation	2
6	40	112437/412820=27.2% false positive bases	38	validation	2
6	40	97270/412820=23.6% false positive bases	42	validation	2
6	40	81094/412820=19.6% false positive bases	46	validation	2
6	40	61252/412820=14.8% false positive bases	50	validation	2
6	40	40373/412820=9.8% false positive bases	54	validation	2
6	40	33719/412820=8.2% false positive bases	58	validation	2
6	40	36788/412820=8.9% false positive bases	62	validation	2
6	40	39930/412820=9.7% false positive bases	67	validation	2
6	40	42105/412820=10.2% false positive bases	71	validation	2
6	40	43904/412820=10.6% false positive bases	75	validation	2
6	40	43811/412820=10.6% false positive bases	79	validation	2
6	40	41022/412820=9.9% false positive bases	83	validation	2
6	40	38626/412820=9.4% false positive bases	87	validation	2
6	40	36900/412820=8.9% false positive bases	91	validation	2
6	40	35482/412820=8.6% false positive bases	95	validation	2
6	40	34692/412820=8.4% false positive bases	100	validation	2
