x	y	label	showSelected1	group
6	26	0/168 nonzero coefficients	1	-1
6	26	4/168 nonzero coefficients	5	-1
6	26	7/168 nonzero coefficients	9	-1
6	26	12/168 nonzero coefficients	13	-1
6	26	14/168 nonzero coefficients	17	-1
6	26	19/168 nonzero coefficients	21	-1
6	26	22/168 nonzero coefficients	25	-1
6	26	24/168 nonzero coefficients	29	-1
6	26	28/168 nonzero coefficients	34	-1
6	26	32/168 nonzero coefficients	38	-1
6	26	35/168 nonzero coefficients	42	-1
6	26	37/168 nonzero coefficients	46	-1
6	26	38/168 nonzero coefficients	50	-1
6	26	37/168 nonzero coefficients	54	-1
6	26	40/168 nonzero coefficients	58	-1
6	26	42/168 nonzero coefficients	62	-1
6	26	44/168 nonzero coefficients	67	-1
6	26	42/168 nonzero coefficients	71	-1
6	26	42/168 nonzero coefficients	75	-1
6	26	44/168 nonzero coefficients	79	-1
6	26	45/168 nonzero coefficients	83	-1
6	26	46/168 nonzero coefficients	87	-1
6	26	48/168 nonzero coefficients	91	-1
6	26	48/168 nonzero coefficients	95	-1
6	26	51/168 nonzero coefficients	100	-1
