y	x	label	showSelected1	showSelected2	showSelected3	group
1.05	0.55402508872413	41282/41282=100.0% false positive bases	1	McGill0001	McGill0012	41
1.05	0.55402508872413	41282/41282=100.0% false positive bases	1	McGill0001	McGill0013	42
1.05	0.55402508872413	41282/41282=100.0% false positive bases	1	McGill0001	McGill0014	43
1.05	0.55402508872413	41282/41282=100.0% false positive bases	1	McGill0001	McGill0015	44
1.05	0.55402508872413	41282/41282=100.0% false positive bases	1	McGill0001	McGill0016	45
1.05	0.55402508872413	41282/41282=100.0% false positive bases	1	McGill0002	McGill0012	46
1.05	0.55402508872413	41282/41282=100.0% false positive bases	1	McGill0002	McGill0013	47
1.05	0.55402508872413	41282/41282=100.0% false positive bases	1	McGill0002	McGill0014	48
1.05	0.55402508872413	41282/41282=100.0% false positive bases	1	McGill0002	McGill0015	49
1.05	0.55402508872413	41282/41282=100.0% false positive bases	1	McGill0002	McGill0016	50
1.05	0.55402508872413	12855/41282=31.1% false positive bases	5	McGill0001	McGill0012	41
1.05	0.55402508872413	12792/41282=31.0% false positive bases	5	McGill0001	McGill0013	42
1.05	0.55402508872413	16354/41282=39.6% false positive bases	5	McGill0001	McGill0014	43
1.05	0.55402508872413	19295/41282=46.7% false positive bases	5	McGill0001	McGill0015	44
1.05	0.55402508872413	16323/41282=39.5% false positive bases	5	McGill0001	McGill0016	45
1.05	0.55402508872413	10883/41282=26.4% false positive bases	5	McGill0002	McGill0012	46
1.05	0.55402508872413	10501/41282=25.4% false positive bases	5	McGill0002	McGill0013	47
1.05	0.55402508872413	11690/41282=28.3% false positive bases	5	McGill0002	McGill0014	48
1.05	0.55402508872413	19344/41282=46.9% false positive bases	5	McGill0002	McGill0015	49
1.05	0.55402508872413	15892/41282=38.5% false positive bases	5	McGill0002	McGill0016	50
1.05	0.55402508872413	13891/41282=33.6% false positive bases	9	McGill0001	McGill0012	41
1.05	0.55402508872413	14442/41282=35.0% false positive bases	9	McGill0001	McGill0013	42
1.05	0.55402508872413	16274/41282=39.4% false positive bases	9	McGill0001	McGill0014	43
1.05	0.55402508872413	16913/41282=41.0% false positive bases	9	McGill0001	McGill0015	44
1.05	0.55402508872413	15522/41282=37.6% false positive bases	9	McGill0001	McGill0016	45
1.05	0.55402508872413	11352/41282=27.5% false positive bases	9	McGill0002	McGill0012	46
1.05	0.55402508872413	11798/41282=28.6% false positive bases	9	McGill0002	McGill0013	47
1.05	0.55402508872413	12394/41282=30.0% false positive bases	9	McGill0002	McGill0014	48
1.05	0.55402508872413	21103/41282=51.1% false positive bases	9	McGill0002	McGill0015	49
1.05	0.55402508872413	16438/41282=39.8% false positive bases	9	McGill0002	McGill0016	50
1.05	0.55402508872413	14876/41282=36.0% false positive bases	13	McGill0001	McGill0012	41
1.05	0.55402508872413	15484/41282=37.5% false positive bases	13	McGill0001	McGill0013	42
1.05	0.55402508872413	16167/41282=39.2% false positive bases	13	McGill0001	McGill0014	43
1.05	0.55402508872413	15439/41282=37.4% false positive bases	13	McGill0001	McGill0015	44
1.05	0.55402508872413	15612/41282=37.8% false positive bases	13	McGill0001	McGill0016	45
1.05	0.55402508872413	11975/41282=29.0% false positive bases	13	McGill0002	McGill0012	46
1.05	0.55402508872413	12029/41282=29.1% false positive bases	13	McGill0002	McGill0013	47
1.05	0.55402508872413	12019/41282=29.1% false positive bases	13	McGill0002	McGill0014	48
1.05	0.55402508872413	19831/41282=48.0% false positive bases	13	McGill0002	McGill0015	49
1.05	0.55402508872413	16461/41282=39.9% false positive bases	13	McGill0002	McGill0016	50
1.05	0.55402508872413	15414/41282=37.3% false positive bases	17	McGill0001	McGill0012	41
1.05	0.55402508872413	16679/41282=40.4% false positive bases	17	McGill0001	McGill0013	42
1.05	0.55402508872413	16008/41282=38.8% false positive bases	17	McGill0001	McGill0014	43
1.05	0.55402508872413	15956/41282=38.7% false positive bases	17	McGill0001	McGill0015	44
1.05	0.55402508872413	15819/41282=38.3% false positive bases	17	McGill0001	McGill0016	45
1.05	0.55402508872413	12154/41282=29.4% false positive bases	17	McGill0002	McGill0012	46
1.05	0.55402508872413	12123/41282=29.4% false positive bases	17	McGill0002	McGill0013	47
1.05	0.55402508872413	11814/41282=28.6% false positive bases	17	McGill0002	McGill0014	48
1.05	0.55402508872413	18230/41282=44.2% false positive bases	17	McGill0002	McGill0015	49
1.05	0.55402508872413	16526/41282=40.0% false positive bases	17	McGill0002	McGill0016	50
1.05	0.55402508872413	16088/41282=39.0% false positive bases	21	McGill0001	McGill0012	41
1.05	0.55402508872413	17507/41282=42.4% false positive bases	21	McGill0001	McGill0013	42
1.05	0.55402508872413	15927/41282=38.6% false positive bases	21	McGill0001	McGill0014	43
1.05	0.55402508872413	15246/41282=36.9% false positive bases	21	McGill0001	McGill0015	44
1.05	0.55402508872413	15651/41282=37.9% false positive bases	21	McGill0001	McGill0016	45
1.05	0.55402508872413	12334/41282=29.9% false positive bases	21	McGill0002	McGill0012	46
1.05	0.55402508872413	12372/41282=30.0% false positive bases	21	McGill0002	McGill0013	47
1.05	0.55402508872413	11665/41282=28.3% false positive bases	21	McGill0002	McGill0014	48
1.05	0.55402508872413	17532/41282=42.5% false positive bases	21	McGill0002	McGill0015	49
1.05	0.55402508872413	16572/41282=40.1% false positive bases	21	McGill0002	McGill0016	50
1.05	0.55402508872413	14882/41282=36.0% false positive bases	25	McGill0001	McGill0012	41
1.05	0.55402508872413	16365/41282=39.6% false positive bases	25	McGill0001	McGill0013	42
1.05	0.55402508872413	14856/41282=36.0% false positive bases	25	McGill0001	McGill0014	43
1.05	0.55402508872413	13378/41282=32.4% false positive bases	25	McGill0001	McGill0015	44
1.05	0.55402508872413	14507/41282=35.1% false positive bases	25	McGill0001	McGill0016	45
1.05	0.55402508872413	12103/41282=29.3% false positive bases	25	McGill0002	McGill0012	46
1.05	0.55402508872413	11759/41282=28.5% false positive bases	25	McGill0002	McGill0013	47
1.05	0.55402508872413	11069/41282=26.8% false positive bases	25	McGill0002	McGill0014	48
1.05	0.55402508872413	16084/41282=39.0% false positive bases	25	McGill0002	McGill0015	49
1.05	0.55402508872413	15041/41282=36.4% false positive bases	25	McGill0002	McGill0016	50
1.05	0.55402508872413	12964/41282=31.4% false positive bases	29	McGill0001	McGill0012	41
1.05	0.55402508872413	14941/41282=36.2% false positive bases	29	McGill0001	McGill0013	42
1.05	0.55402508872413	13364/41282=32.4% false positive bases	29	McGill0001	McGill0014	43
1.05	0.55402508872413	11715/41282=28.4% false positive bases	29	McGill0001	McGill0015	44
1.05	0.55402508872413	13281/41282=32.2% false positive bases	29	McGill0001	McGill0016	45
1.05	0.55402508872413	11697/41282=28.3% false positive bases	29	McGill0002	McGill0012	46
1.05	0.55402508872413	11569/41282=28.0% false positive bases	29	McGill0002	McGill0013	47
1.05	0.55402508872413	10660/41282=25.8% false positive bases	29	McGill0002	McGill0014	48
1.05	0.55402508872413	14860/41282=36.0% false positive bases	29	McGill0002	McGill0015	49
1.05	0.55402508872413	14301/41282=34.6% false positive bases	29	McGill0002	McGill0016	50
1.05	0.55402508872413	11420/41282=27.7% false positive bases	34	McGill0001	McGill0012	41
1.05	0.55402508872413	13399/41282=32.5% false positive bases	34	McGill0001	McGill0013	42
1.05	0.55402508872413	12198/41282=29.5% false positive bases	34	McGill0001	McGill0014	43
1.05	0.55402508872413	10550/41282=25.6% false positive bases	34	McGill0001	McGill0015	44
1.05	0.55402508872413	12315/41282=29.8% false positive bases	34	McGill0001	McGill0016	45
1.05	0.55402508872413	11488/41282=27.8% false positive bases	34	McGill0002	McGill0012	46
1.05	0.55402508872413	11285/41282=27.3% false positive bases	34	McGill0002	McGill0013	47
1.05	0.55402508872413	10386/41282=25.2% false positive bases	34	McGill0002	McGill0014	48
1.05	0.55402508872413	13868/41282=33.6% false positive bases	34	McGill0002	McGill0015	49
1.05	0.55402508872413	13610/41282=33.0% false positive bases	34	McGill0002	McGill0016	50
1.05	0.55402508872413	10461/41282=25.3% false positive bases	38	McGill0001	McGill0012	41
1.05	0.55402508872413	11719/41282=28.4% false positive bases	38	McGill0001	McGill0013	42
1.05	0.55402508872413	11045/41282=26.8% false positive bases	38	McGill0001	McGill0014	43
1.05	0.55402508872413	9577/41282=23.2% false positive bases	38	McGill0001	McGill0015	44
1.05	0.55402508872413	11255/41282=27.3% false positive bases	38	McGill0001	McGill0016	45
1.05	0.55402508872413	11210/41282=27.2% false positive bases	38	McGill0002	McGill0012	46
1.05	0.55402508872413	10692/41282=25.9% false positive bases	38	McGill0002	McGill0013	47
1.05	0.55402508872413	10043/41282=24.3% false positive bases	38	McGill0002	McGill0014	48
1.05	0.55402508872413	13376/41282=32.4% false positive bases	38	McGill0002	McGill0015	49
1.05	0.55402508872413	13059/41282=31.6% false positive bases	38	McGill0002	McGill0016	50
1.05	0.55402508872413	8138/41282=19.7% false positive bases	42	McGill0001	McGill0012	41
1.05	0.55402508872413	9001/41282=21.8% false positive bases	42	McGill0001	McGill0013	42
1.05	0.55402508872413	8625/41282=20.9% false positive bases	42	McGill0001	McGill0014	43
1.05	0.55402508872413	8241/41282=20.0% false positive bases	42	McGill0001	McGill0015	44
1.05	0.55402508872413	9234/41282=22.4% false positive bases	42	McGill0001	McGill0016	45
1.05	0.55402508872413	10823/41282=26.2% false positive bases	42	McGill0002	McGill0012	46
1.05	0.55402508872413	9324/41282=22.6% false positive bases	42	McGill0002	McGill0013	47
1.05	0.55402508872413	9681/41282=23.5% false positive bases	42	McGill0002	McGill0014	48
1.05	0.55402508872413	11833/41282=28.7% false positive bases	42	McGill0002	McGill0015	49
1.05	0.55402508872413	12370/41282=30.0% false positive bases	42	McGill0002	McGill0016	50
1.05	0.55402508872413	5910/41282=14.3% false positive bases	46	McGill0001	McGill0012	41
1.05	0.55402508872413	6794/41282=16.5% false positive bases	46	McGill0001	McGill0013	42
1.05	0.55402508872413	5830/41282=14.1% false positive bases	46	McGill0001	McGill0014	43
1.05	0.55402508872413	7129/41282=17.3% false positive bases	46	McGill0001	McGill0015	44
1.05	0.55402508872413	6329/41282=15.3% false positive bases	46	McGill0001	McGill0016	45
1.05	0.55402508872413	9817/41282=23.8% false positive bases	46	McGill0002	McGill0012	46
1.05	0.55402508872413	7520/41282=18.2% false positive bases	46	McGill0002	McGill0013	47
1.05	0.55402508872413	8869/41282=21.5% false positive bases	46	McGill0002	McGill0014	48
1.05	0.55402508872413	11129/41282=27.0% false positive bases	46	McGill0002	McGill0015	49
1.05	0.55402508872413	11767/41282=28.5% false positive bases	46	McGill0002	McGill0016	50
1.05	0.55402508872413	3245/41282=7.9% false positive bases	50	McGill0001	McGill0012	41
1.05	0.55402508872413	3318/41282=8.0% false positive bases	50	McGill0001	McGill0013	42
1.05	0.55402508872413	3388/41282=8.2% false positive bases	50	McGill0001	McGill0014	43
1.05	0.55402508872413	4862/41282=11.8% false positive bases	50	McGill0001	McGill0015	44
1.05	0.55402508872413	4699/41282=11.4% false positive bases	50	McGill0001	McGill0016	45
1.05	0.55402508872413	8273/41282=20.0% false positive bases	50	McGill0002	McGill0012	46
1.05	0.55402508872413	5579/41282=13.5% false positive bases	50	McGill0002	McGill0013	47
1.05	0.55402508872413	7537/41282=18.3% false positive bases	50	McGill0002	McGill0014	48
1.05	0.55402508872413	9975/41282=24.2% false positive bases	50	McGill0002	McGill0015	49
1.05	0.55402508872413	10376/41282=25.1% false positive bases	50	McGill0002	McGill0016	50
1.05	0.55402508872413	2386/41282=5.8% false positive bases	54	McGill0001	McGill0012	41
1.05	0.55402508872413	1927/41282=4.7% false positive bases	54	McGill0001	McGill0013	42
1.05	0.55402508872413	2297/41282=5.6% false positive bases	54	McGill0001	McGill0014	43
1.05	0.55402508872413	3029/41282=7.3% false positive bases	54	McGill0001	McGill0015	44
1.05	0.55402508872413	3331/41282=8.1% false positive bases	54	McGill0001	McGill0016	45
1.05	0.55402508872413	5001/41282=12.1% false positive bases	54	McGill0002	McGill0012	46
1.05	0.55402508872413	2767/41282=6.7% false positive bases	54	McGill0002	McGill0013	47
1.05	0.55402508872413	4671/41282=11.3% false positive bases	54	McGill0002	McGill0014	48
1.05	0.55402508872413	7888/41282=19.1% false positive bases	54	McGill0002	McGill0015	49
1.05	0.55402508872413	7076/41282=17.1% false positive bases	54	McGill0002	McGill0016	50
