y	x	label	showSelected1	showSelected2	group
-1	-0.07	tcell McGill0004 max=2.1	train	McGill0004	1
-1	-0.07	tcell McGill0005 max=2.9	train	McGill0005	2
-1	-0.07	tcell McGill0006 max=1.9	train	McGill0006	3
-1	-0.07	tcell McGill0007 max=2.5	train	McGill0007	4
-1	-0.07	tcell McGill0008 max=4.7	train	McGill0008	5
-1	-0.07	tcell McGill0009 max=5.5	train	McGill0009	6
-1	-0.07	tcell McGill0010 max=1.7	train	McGill0010	7
-1	-0.07	tcell McGill0011 max=6.7	train	McGill0011	8
-1	-0.07	skeletalMuscleMD McGill0012 max=36.6	validation	McGill0012	9
-1	-0.07	skeletalMuscleMD McGill0013 max=47.7	validation	McGill0013	10
-1	-0.07	skeletalMuscleMD McGill0014 max=23.6	validation	McGill0014	11
-1	-0.07	skeletalMuscleMD McGill0015 max=40.3	validation	McGill0015	12
-1	-0.07	skeletalMuscleMD McGill0016 max=32.5	validation	McGill0016	13
