fill	x	y	clickSelects	showSelected2	showSelected3
#F6F4BF	100	1	McGill0004	1	false.positive
#F6F4BF	100	1	McGill0005	1	false.positive
#F6F4BF	100	1	McGill0006	1	false.positive
#F6F4BF	100	1	McGill0007	1	false.positive
#F6F4BF	100	1	McGill0008	1	false.positive
#F6F4BF	100	1	McGill0009	1	false.positive
#F6F4BF	100	1	McGill0010	1	false.positive
#F6F4BF	100	1	McGill0011	1	false.positive
#F6F4BF	100	2	McGill0004	1	false.positive
#F6F4BF	100	2	McGill0005	1	false.positive
#F6F4BF	100	2	McGill0006	1	false.positive
#F6F4BF	100	2	McGill0007	1	false.positive
#F6F4BF	100	2	McGill0008	1	false.positive
#F6F4BF	100	2	McGill0009	1	false.positive
#F6F4BF	100	2	McGill0010	1	false.positive
#F6F4BF	100	2	McGill0011	1	false.positive
#F6F4BF	100	3	McGill0004	1	false.positive
#F6F4BF	100	3	McGill0005	1	false.positive
#F6F4BF	100	3	McGill0006	1	false.positive
#F6F4BF	100	3	McGill0007	1	false.positive
#F6F4BF	100	3	McGill0008	1	false.positive
#F6F4BF	100	3	McGill0009	1	false.positive
#F6F4BF	100	3	McGill0010	1	false.positive
#F6F4BF	100	3	McGill0011	1	false.positive
#F6F4BF	100	4	McGill0004	1	false.positive
#F6F4BF	100	4	McGill0005	1	false.positive
#F6F4BF	100	4	McGill0006	1	false.positive
#F6F4BF	100	4	McGill0007	1	false.positive
#F6F4BF	100	4	McGill0008	1	false.positive
#F6F4BF	100	4	McGill0009	1	false.positive
#F6F4BF	100	4	McGill0010	1	false.positive
#F6F4BF	100	4	McGill0011	1	false.positive
#F6F4BF	100	5	McGill0004	1	false.positive
#F6F4BF	100	5	McGill0005	1	false.positive
#F6F4BF	100	5	McGill0006	1	false.positive
#F6F4BF	100	5	McGill0007	1	false.positive
#F6F4BF	100	5	McGill0008	1	false.positive
#F6F4BF	100	5	McGill0009	1	false.positive
#F6F4BF	100	5	McGill0010	1	false.positive
#F6F4BF	100	5	McGill0011	1	false.positive
#F6F4BF	3.76720408965788	1	McGill0004	5	false.positive
#F6F4BF	4.75815965395203	1	McGill0006	5	false.positive
#F6F4BF	4.56940621313409	1	McGill0007	5	false.positive
#F6F4BF	11.2229650019662	1	McGill0011	5	false.positive
#F6F4BF	8.56468737711365	2	McGill0004	5	false.positive
#F6F4BF	0.125835627211954	2	McGill0005	5	false.positive
#F6F4BF	9.90955564294141	2	McGill0006	5	false.positive
#F6F4BF	13.6295713723948	2	McGill0007	5	false.positive
#F6F4BF	3.99528116397955	2	McGill0008	5	false.positive
#F6F4BF	3.92449862367283	2	McGill0009	5	false.positive
#F6F4BF	9.62642548171451	2	McGill0010	5	false.positive
#F6F4BF	7.46362563900904	2	McGill0011	5	false.positive
#F6F4BF	1.43138025953598	3	McGill0004	5	false.positive
#F6F4BF	3.76720408965788	3	McGill0005	5	false.positive
#F6F4BF	4.52221785292961	3	McGill0006	5	false.positive
#F6F4BF	2.8863546991742	3	McGill0007	5	false.positive
#F6F4BF	2.32795910342116	3	McGill0008	5	false.positive
#F6F4BF	3.56272119543846	3	McGill0009	5	false.positive
#F6F4BF	1.18757373181282	3	McGill0010	5	false.positive
#F6F4BF	2.72906016515926	3	McGill0011	5	false.positive
#F6F4BF	22.862760519072	4	McGill0004	5	false.positive
#F6F4BF	7.77821470703893	4	McGill0005	5	false.positive
#F6F4BF	26.158081006685	4	McGill0006	5	false.positive
#F6F4BF	27.0939834840739	4	McGill0007	5	false.positive
#F6F4BF	9.61069602831302	4	McGill0008	5	false.positive
#F6F4BF	11.4667715296893	4	McGill0009	5	false.positive
#F6F4BF	16.7361384191899	4	McGill0010	5	false.positive
#F6F4BF	19.1112858828156	4	McGill0011	5	false.positive
#F6F4BF	8.54109319701141	5	McGill0004	5	false.positive
#F6F4BF	1.1010617381046	5	McGill0005	5	false.positive
#F6F4BF	21.2583562721195	5	McGill0006	5	false.positive
#F6F4BF	6.92095949665749	5	McGill0007	5	false.positive
#F6F4BF	6.82658277624853	5	McGill0008	5	false.positive
#F6F4BF	4.89972473456547	5	McGill0009	5	false.positive
#F6F4BF	3.28745576091231	5	McGill0010	5	false.positive
#F6F4BF	19.2607156901298	5	McGill0011	5	false.positive
#F6F4BF	4.92331891466772	1	McGill0006	9	false.positive
#F6F4BF	4.34132913881243	1	McGill0007	9	false.positive
#F6F4BF	0.574125049154542	1	McGill0010	9	false.positive
#F6F4BF	4.39638222571766	1	McGill0011	9	false.positive
#F6F4BF	7.589461266221	2	McGill0004	9	false.positive
#F6F4BF	0.0943767204089658	2	McGill0005	9	false.positive
#F6F4BF	8.41525756979945	2	McGill0006	9	false.positive
#F6F4BF	9.61856075501376	2	McGill0007	9	false.positive
#F6F4BF	1.14038537160834	2	McGill0008	9	false.positive
#F6F4BF	2.98073141958317	2	McGill0009	9	false.positive
#F6F4BF	2.51671254423909	2	McGill0010	9	false.positive
#F6F4BF	5.90640975226111	2	McGill0011	9	false.positive
#F6F4BF	3.3031852143138	3	McGill0005	9	false.positive
#F6F4BF	1.21116791191506	3	McGill0006	9	false.positive
#F6F4BF	0.935902477388911	3	McGill0007	9	false.positive
#F6F4BF	1.46283916633897	3	McGill0008	9	false.positive
#F6F4BF	1.34486826582776	3	McGill0011	9	false.positive
#F6F4BF	10.3814392449862	4	McGill0004	9	false.positive
#F6F4BF	3.35037357451829	4	McGill0005	9	false.positive
#F6F4BF	27.0232009437672	4	McGill0006	9	false.positive
#F6F4BF	16.42154935116	4	McGill0007	9	false.positive
#F6F4BF	2.95713723948093	4	McGill0008	9	false.positive
#F6F4BF	7.62878489972473	4	McGill0009	9	false.positive
#F6F4BF	12.8352339756193	4	McGill0010	9	false.positive
#F6F4BF	10.9555642941408	4	McGill0011	9	false.positive
#F6F4BF	7.11757766417617	5	McGill0004	9	false.positive
#F6F4BF	1.01454974439638	5	McGill0005	9	false.positive
#F6F4BF	21.0302791977979	5	McGill0006	9	false.positive
#F6F4BF	3.53912701533622	5	McGill0007	9	false.positive
#F6F4BF	3.42902084152576	5	McGill0008	9	false.positive
#F6F4BF	1.61226897365317	5	McGill0009	9	false.positive
#F6F4BF	2.17852929610696	5	McGill0010	9	false.positive
#F6F4BF	7.62878489972473	5	McGill0011	9	false.positive
#F6F4BF	2.44593000393236	1	McGill0006	13	false.positive
#F6F4BF	3.32677939441604	1	McGill0007	13	false.positive
#F6F4BF	0.990955564294141	1	McGill0010	13	false.positive
#F6F4BF	4.37278804561541	1	McGill0011	13	false.positive
#F6F4BF	4.8368069209595	2	McGill0004	13	false.positive
#F6F4BF	0.0235941801022415	2	McGill0005	13	false.positive
#F6F4BF	5.48957923712151	2	McGill0006	13	false.positive
#F6F4BF	4.01101061738105	2	McGill0007	13	false.positive
#F6F4BF	0.0157294534014943	2	McGill0008	13	false.positive
#F6F4BF	2.28863546991742	2	McGill0009	13	false.positive
#F6F4BF	1.60440424695242	2	McGill0010	13	false.positive
#F6F4BF	2.67400707825403	2	McGill0011	13	false.positive
#F6F4BF	3.29532048761306	3	McGill0005	13	false.positive
#F6F4BF	1.6673220605584	3	McGill0006	13	false.positive
#F6F4BF	0.456154148643335	3	McGill0008	13	false.positive
#F6F4BF	1.07746755800236	3	McGill0011	13	false.positive
#F6F4BF	8.26582776248525	4	McGill0004	13	false.positive
#F6F4BF	2.47738891073535	4	McGill0005	13	false.positive
#F6F4BF	25.0098309083759	4	McGill0006	13	false.positive
#F6F4BF	13.1970114038537	4	McGill0007	13	false.positive
#F6F4BF	2.64254817145104	4	McGill0008	13	false.positive
#F6F4BF	5.42666142351553	4	McGill0009	13	false.positive
#F6F4BF	14.2823436885568	4	McGill0010	13	false.positive
#F6F4BF	9.70507274872198	4	McGill0011	13	false.positive
